image_id,image_path,group,n_tube,n_roi,top_tube_conf,top_roi_conf,second_roi_conf,tube_conf_list,roi_conf_list
splash_neg_1_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_neg_1_2.jpg,qc_splash,1,1,0.8572,0.7103,0.0000,0.8572,0.7103
splash_neg_2_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_neg_2_2.jpg,qc_splash,1,0,0.8434,0.0000,0.0000,0.8434,
splash_neg_3_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_neg_3_1.jpg,qc_splash,1,0,0.8684,0.0000,0.0000,0.8684,
splash_neg_3_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_neg_3_2.jpg,qc_splash,1,0,0.8676,0.0000,0.0000,0.8676,
splash_neg_4_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_neg_4_1.jpg,qc_splash,1,0,0.8251,0.0000,0.0000,0.8251,
splash_neg_4_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_neg_4_2.jpg,qc_splash,1,0,0.8229,0.0000,0.0000,0.8229,
splash_neg_5_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_neg_5_1.jpg,qc_splash,1,0,0.8364,0.0000,0.0000,0.8364,
splash_neg_5_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_neg_5_2.jpg,qc_splash,1,0,0.8606,0.0000,0.0000,0.8606,
splash_pos_1_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_pos_1_1.jpg,qc_splash,1,0,0.8505,0.0000,0.0000,0.8505,
splash_pos_1_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_pos_1_2.jpg,qc_splash,1,0,0.8409,0.0000,0.0000,0.8409,
splash_pos_2_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_pos_2_1.jpg,qc_splash,1,1,0.8652,0.6022,0.0000,0.8652,0.6022
splash_pos_2_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_pos_2_2.jpg,qc_splash,1,1,0.8661,0.6236,0.0000,0.8661,0.6236
