image_id,image_path,role,label,method,tube_conf,roi_conf,mean_au,p95_au,sat_frac
solo_test_neg_tube_2_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_2.jpg,solo,neg,G_norm,0.8471,0.7978,98.573067,101.028572,0.000000
solo_test_neg_tube_2_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_2.jpg,solo,neg,G_ratio,0.8471,0.7978,242.117462,251.814117,0.000000
solo_test_neg_tube_2_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_2.jpg,solo,neg,ExG,0.8471,0.7978,204.388367,245.892868,0.000000
solo_test_neg_tube_3_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_1.jpg,solo,neg,G,0.8362,0.8157,176.739471,200.000000,0.000000
solo_test_neg_tube_3_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_1.jpg,solo,neg,HSV_V,0.8362,0.8157,241.142929,255.000000,0.000000
solo_test_neg_tube_3_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_1.jpg,solo,neg,GRAY,0.8362,0.8157,175.953705,194.000000,0.000000
solo_test_neg_tube_3_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_1.jpg,solo,neg,HSV_S,0.8362,0.8157,253.887573,255.000000,0.000000
solo_test_neg_tube_3_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_1.jpg,solo,neg,G_norm,0.8362,0.8157,107.249649,111.597374,0.000000
solo_test_neg_tube_3_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_1.jpg,solo,neg,G_ratio,0.8362,0.8157,214.147400,229.111862,0.000000
solo_test_neg_tube_3_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_1.jpg,solo,neg,ExG,0.8362,0.8157,158.133774,206.203705,0.000000
solo_test_neg_tube_3_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_2.jpg,solo,neg,G,0.8359,0.8190,175.450851,200.000000,0.000000
solo_test_neg_tube_3_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_2.jpg,solo,neg,HSV_V,0.8359,0.8190,239.901627,255.000000,0.000000
solo_test_neg_tube_3_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_2.jpg,solo,neg,GRAY,0.8359,0.8190,174.870346,194.000000,0.000000
solo_test_neg_tube_3_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_2.jpg,solo,neg,HSV_S,0.8359,0.8190,253.630722,255.000000,0.000000
solo_test_neg_tube_3_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_2.jpg,solo,neg,G_norm,0.8359,0.8190,106.811691,111.066666,0.000000
solo_test_neg_tube_3_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_2.jpg,solo,neg,G_ratio,0.8359,0.8190,212.901566,227.181534,0.000000
solo_test_neg_tube_3_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_2.jpg,solo,neg,ExG,0.8359,0.8190,173.460663,211.212128,0.000000
solo_test_neg_tube_4_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_1.jpg,solo,neg,G,0.8609,0.8184,183.999573,204.000000,0.000000
solo_test_neg_tube_4_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_1.jpg,solo,neg,HSV_V,0.8609,0.8184,245.554382,255.000000,0.000000
solo_test_neg_tube_4_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_1.jpg,solo,neg,GRAY,0.8609,0.8184,181.551117,196.000000,0.000000
solo_test_neg_tube_4_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_1.jpg,solo,neg,HSV_S,0.8609,0.8184,253.854889,255.000000,0.000000
solo_test_neg_tube_4_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_1.jpg,solo,neg,G_norm,0.8609,0.8184,108.720482,112.777779,0.000000
solo_test_neg_tube_4_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_1.jpg,solo,neg,G_ratio,0.8609,0.8184,217.732025,231.965317,0.000000
solo_test_neg_tube_4_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_1.jpg,solo,neg,ExG,0.8609,0.8184,158.046951,221.557373,0.000000
solo_test_neg_tube_4_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_2.jpg,solo,neg,G,0.8640,0.8230,175.652603,192.000000,0.000000
solo_test_neg_tube_4_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_2.jpg,solo,neg,HSV_V,0.8640,0.8230,245.239716,255.000000,0.000000
solo_test_neg_tube_4_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_2.jpg,solo,neg,GRAY,0.8640,0.8230,176.479584,189.000000,0.000000
solo_test_neg_tube_4_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_2.jpg,solo,neg,HSV_S,0.8640,0.8230,254.453888,255.000000,0.000000
solo_test_neg_tube_4_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_2.jpg,solo,neg,G_norm,0.8640,0.8230,105.968071,110.113640,0.000000
solo_test_neg_tube_4_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_2.jpg,solo,neg,G_ratio,0.8640,0.8230,229.350555,244.648193,0.000000
solo_test_neg_tube_4_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_2.jpg,solo,neg,ExG,0.8640,0.8230,197.928772,247.213745,0.000000
solo_test_neg_tube_5_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_1.jpg,solo,neg,G,0.8351,0.7819,184.188339,208.000000,0.000000
solo_test_neg_tube_5_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_1.jpg,solo,neg,HSV_V,0.8351,0.7819,241.194336,255.000000,0.000000
solo_test_neg_tube_5_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_1.jpg,solo,neg,GRAY,0.8351,0.7819,180.392960,198.000000,0.000000
solo_test_neg_tube_5_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_1.jpg,solo,neg,HSV_S,0.8351,0.7819,253.771759,255.000000,0.000000
solo_test_neg_tube_5_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_1.jpg,solo,neg,G_norm,0.8351,0.7819,109.017296,114.310349,0.000000
solo_test_neg_tube_5_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_1.jpg,solo,neg,G_ratio,0.8351,0.7819,226.881943,245.378448,0.000000
solo_test_neg_tube_5_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_1.jpg,solo,neg,ExG,0.8351,0.7819,197.952805,241.044785,0.000000
solo_test_neg_tube_5_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_2.jpg,solo,neg,G,0.8344,0.8001,185.785934,210.000000,0.000000
solo_test_neg_tube_5_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_2.jpg,solo,neg,HSV_V,0.8344,0.8001,242.416473,255.000000,0.000000
solo_test_neg_tube_5_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_2.jpg,solo,neg,GRAY,0.8344,0.8001,181.714859,200.000000,0.000000
solo_test_neg_tube_5_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_2.jpg,solo,neg,HSV_S,0.8344,0.8001,253.644348,255.000000,0.000000
solo_test_neg_tube_5_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_2.jpg,solo,neg,G_norm,0.8344,0.8001,109.399963,114.830864,0.000000
solo_test_neg_tube_5_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_2.jpg,solo,neg,G_ratio,0.8344,0.8001,224.372467,243.401443,0.000000
solo_test_neg_tube_5_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_2.jpg,solo,neg,ExG,0.8344,0.8001,195.427185,240.145630,0.000000
solo_test_pos_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_2x_01.jpg,solo,pos,G,0.8536,0.8182,244.695206,255.000000,0.288019
